,ticker
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ADBE
6,AMD
7,AES
8,AFL
9,A
10,APD
11,ABNB
12,AKAM
13,ALB
14,ARE
15,ALGN
16,ALLE
17,LNT
18,ALL
19,GOOGL
20,GOOG
21,MO
22,AMZN
23,AMCR
24,AEE
25,AEP
26,AXP
27,AIG
28,AMT
29,AWK
30,AMP
31,AME
32,AMGN
33,APH
34,ADI
35,AON
36,APA
37,APO
38,AAPL
39,AMAT
40,APP
41,APTV
42,ACGL
43,ADM
44,ARES
45,ANET
46,AJG
47,AIZ
48,T
49,ATO
50,ADSK
51,ADP
52,AZO
53,AVB
54,AVY
55,AXON
56,BKR
57,BALL
58,BAC
59,BAX
60,BDX
61,BRK.B
62,BBY
63,TECH
64,BIIB
65,BLK
66,BX
67,XYZ
68,BNY
69,BA
70,BKNG
71,BSX
72,BMY
73,AVGO
74,BR
75,BRO
76,BF.B
77,BLDR
78,BG
79,BXP
80,CHRW
81,CDNS
82,CPT
83,CPB
84,COF
85,CAH
86,CCL
87,CARR
88,CVNA
89,CASY
90,CAT
91,CBOE
92,CBRE
93,CDW
94,COR
95,CNC
96,CNP
97,CF
98,CRL
99,SCHW
100,CHTR
101,CVX
102,CMG
103,CB
104,CHD
105,CIEN
106,CI
107,CINF
108,CTAS
109,CSCO
110,C
111,CFG
112,CLX
113,CME
114,CMS
115,KO
116,CTSH
117,COHR
118,COIN
119,CL
120,CMCSA
121,FIX
122,CAG
123,COP
124,ED
125,STZ
126,CEG
127,COO
128,CPRT
129,GLW
130,CPAY
131,CTVA
132,CSGP
133,COST
134,CRH
135,CRWD
136,CCI
137,CSX
138,CMI
139,CVS
140,DHR
141,DRI
142,DDOG
143,DVA
144,DECK
145,DE
146,DELL
147,DAL
148,DVN
149,DXCM
150,FANG
151,DLR
152,DG
153,DLTR
154,D
155,DPZ
156,DASH
157,DOV
158,DOW
159,DHI
160,DTE
161,DUK
162,DD
163,ETN
164,EBAY
165,SATS
166,ECL
167,EIX
168,EW
169,EA
170,ELV
171,EME
172,EMR
173,ETR
174,EOG
175,EQT
176,EFX
177,EQIX
178,EQR
179,ERIE
180,ESS
181,EL
182,EG
183,EVRG
184,ES
185,EXC
186,EXE
187,EXPE
188,EXPD
189,EXR
190,XOM
191,FFIV
192,FDS
193,FICO
194,FAST
195,FRT
196,FDX
197,FDXF
198,FIS
199,FITB
200,FSLR
201,FE
202,FISV
203,F
204,FTNT
205,FTV
206,FOXA
207,FOX
208,BEN
209,FCX
210,GRMN
211,IT
212,GE
213,GEHC
214,GEV
215,GEN
216,GNRC
217,GD
218,GIS
219,GM
220,GPC
221,GILD
222,GPN
223,GL
224,GDDY
225,GS
226,HAL
227,HIG
228,HAS
229,HCA
230,DOC
231,HSIC
232,HSY
233,HPE
234,HLT
235,HD
236,HON
237,HRL
238,HST
239,HWM
240,HPQ
241,HUBB
242,HUM
243,HBAN
244,HII
245,IBM
246,IEX
247,IDXX
248,ITW
249,INCY
250,IR
251,PODD
252,INTC
253,IBKR
254,ICE
255,IFF
256,IP
257,INTU
258,ISRG
259,IVZ
260,INVH
261,IQV
262,IRM
263,JBHT
264,JBL
265,JKHY
266,J
267,JNJ
268,JCI
269,JPM
270,KVUE
271,KDP
272,KEY
273,KEYS
274,KMB
275,KIM
276,KMI
277,KKR
278,KLAC
279,KHC
280,KR
281,LHX
282,LH
283,LRCX
284,LVS
285,LDOS
286,LEN
287,LII
288,LLY
289,LIN
290,LYV
291,LMT
292,L
293,LOW
294,LULU
295,LITE
296,LYB
297,MTB
298,MPC
299,MAR
300,MRSH
301,MLM
302,MAS
303,MA
304,MKC
305,MCD
306,MCK
307,MDT
308,MRK
309,META
310,MET
311,MTD
312,MGM
313,MCHP
314,MU
315,MSFT
316,MAA
317,MRNA
318,TAP
319,MDLZ
320,MPWR
321,MNST
322,MCO
323,MS
324,MOS
325,MSI
326,MSCI
327,NDAQ
328,NTAP
329,NFLX
330,NEM
331,NWSA
332,NWS
333,NEE
334,NKE
335,NI
336,NDSN
337,NSC
338,NTRS
339,NOC
340,NCLH
341,NRG
342,NUE
343,NVDA
344,NVR
345,NXPI
346,ORLY
347,OXY
348,ODFL
349,OMC
350,ON
351,OKE
352,ORCL
353,OTIS
354,PCAR
355,PKG
356,PLTR
357,PANW
358,PSKY
359,PH
360,PAYX
361,PYPL
362,PNR
363,PEP
364,PFE
365,PCG
366,PM
367,PSX
368,PNW
369,PNC
370,POOL
371,PPG
372,PPL
373,PFG
374,PG
375,PGR
376,PLD
377,PRU
378,PEG
379,PTC
380,PSA
381,PHM
382,PWR
383,QCOM
384,DGX
385,Q
386,RL
387,RJF
388,RTX
389,O
390,REG
391,REGN
392,RF
393,RSG
394,RMD
395,RVTY
396,HOOD
397,ROK
398,ROL
399,ROP
400,ROST
401,RCL
402,SPGI
403,CRM
404,SNDK
405,SBAC
406,SLB
407,STX
408,SRE
409,NOW
410,SHW
411,SPG
412,SWKS
413,SJM
414,SW
415,SNA
416,SOLV
417,SO
418,LUV
419,SWK
420,SBUX
421,STT
422,STLD
423,STE
424,SYK
425,SMCI
426,SYF
427,SNPS
428,SYY
429,TMUS
430,TROW
431,TTWO
432,TPR
433,TRGP
434,TGT
435,TEL
436,TDY
437,TER
438,TSLA
439,TXN
440,TPL
441,TXT
442,TMO
443,TJX
444,TKO
445,TTD
446,TSCO
447,TT
448,TDG
449,TRV
450,TRMB
451,TFC
452,TYL
453,TSN
454,USB
455,UBER
456,UDR
457,ULTA
458,UNP
459,UAL
460,UPS
461,URI
462,UNH
463,UHS
464,VLO
465,VEEV
466,VTR
467,VLTO
468,VRSN
469,VRSK
470,VZ
471,VRTX
472,VRT
473,VTRS
474,VICI
475,V
476,VST
477,VMC
478,WRB
479,GWW
480,WAB
481,WMT
482,DIS
483,WBD
484,WM
485,WAT
486,WEC
487,WFC
488,WELL
489,WST
490,WDC
491,WY
492,WSM
493,WMB
494,WTW
495,WDAY
496,WYNN
497,XEL
498,XYL
499,YUM
500,ZBRA
501,ZBH
502,ZTS
